1,Destination,Route,Towards,Notes,Risweg
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,16:11
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3012,16:39
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,16:41
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3013,17:09
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,17:11
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3014,17:39
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,17:41
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:09
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,18:11
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:39
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,19:11
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,19:39
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,20:09
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,20:11
From,Serneus Dorf: Via Serneus,231,Serneus:Dorf,No,20:39
