1,Destination,Route,Towards,Notes,Vereinapark
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,11:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,11:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,11:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,11:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,11:52
To,Klosters Platz - Station,234,Klosters Platz - Station,No,11:54
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,11:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,12:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,12:16
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,12:21
To,Klosters Platz - Station,232,Klosters Platz - Station,No,12:22
To,Klosters Platz - Station,234,Klosters Platz - Station,No,12:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,12:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,12:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,12:52
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,13:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,13:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:27
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:36
To,Klosters Platz - Station,234,Klosters Platz - Station,No,13:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,13:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,13:52
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:57
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,14:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,14:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,14:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,14:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,14:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,14:52
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,14:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,15:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,15:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,15:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,15:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,15:52
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:12
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:16
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,16:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,16:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,16:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,16:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,16:52
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:56
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,17:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,17:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,17:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,17:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,17:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,17:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,17:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,17:52
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,18:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,18:22
To,Klosters Platz - Station,234,Klosters Platz - Station,No,18:42
To,Klosters Platz - Station,232,Klosters Platz - Station,No,18:57
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,19:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,19:22
To,Klosters Platz - Station,234,Klosters Platz - Station,No,19:42
To,Klosters Platz - Station,232,Klosters Platz - Station,No,19:57
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,20:16
