1,Destination,Route,Towards,Notes,Klosters Platz - Station
From,Oberselfranga,234,Oberselfranga,No,11:33
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,11:33
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,11:33
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,11:40
From,Oberselfranga,234,Oberselfranga,No,11:45
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,11:58
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,12:03
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:03
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,12:05
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,12:25
From,Oberselfranga,234,Oberselfranga,No,12:33
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,12:33
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:33
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,12:55
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,13:03
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:03
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,13:10
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,13:20
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,13:25
From,Oberselfranga,234,Oberselfranga,No,13:33
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,13:33
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:33
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,13:40
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,14:03
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:03
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,14:10
From,Oberselfranga,234,Oberselfranga,No,14:33
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,14:33
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:33
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,14:40
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,14:55
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,15:03
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,15:03
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:10
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:25
From,Oberselfranga,234,Oberselfranga,No,15:33
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,15:33
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3010,15:33
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:40
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,15:55
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,16:00
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,16:03
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3011,16:03
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:10
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:25
From,Oberselfranga,234,Oberselfranga,No,16:33
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,16:33
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3012,16:33
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,16:40
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:40
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,16:55
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,17:03
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3013,17:03
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,17:10
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,17:25
From,Oberselfranga,234,Oberselfranga,No,17:33
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,17:33
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3014,17:33
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,18:03
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:03
From,Oberselfranga,234,Oberselfranga,No,18:33
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:33
From,Aeuja Post:Via Sportzentrum (for skilift Selfranga),232,Sportzentrum (for skilift Selfranga):Aeuja Post,No,18:46
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,19:03
From,Oberselfranga,234,Oberselfranga,No,19:33
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,19:33
From,Aeuja Post:Via Sportzentrum (for skilift Selfranga),232,Sportzentrum (for skilift Selfranga):Aeuja Post,No,19:46
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,20:03
From,Serneus,231,Serneus:Dorf,No,20:33
