1,Destination,Route,Towards,Notes,Mezzaselva
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Monday to Saturday only - no service on public holidays,05:22
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No service Sundays or public holidays.,05:58
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No service Sundays or public holidays.,06:08
To,Klosters Platz - Station,231,Klosters Platz - Station,No,06:18
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,06:22
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Connection to Davos not availible on weekends or public holidays.,06:35
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:39
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos not availible on weekends or public holidays.,06:45
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:49
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,06:58
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,07:08
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,07:22
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad,231,Klosters Platz - Station:Serneus:Dorf:Bad,Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,07:28
To,Klosters Platz - Station,231,Klosters Platz - Station,No,07:38
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:42
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,07:52
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,07:58
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,08:08
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,08:22
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept. Connection to Davos 24 Dec - 11 Mar only.,08:28
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,08:38
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:42
From,Kublis:Via Saas,231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,08:52
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,08:58
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,09:08
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,09:22
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,09:28
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,09:38
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:42
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,09:52
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,09:58
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,10:08
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,10:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,10:22
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Connection to Davos 24 Dec - 11 Mar only.,10:28
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,10:38
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,10:42
From,Kublis:Via Saas,231,Kublis,Lift pass not accepted as a ticket for travel. Gust cards valid for travel only if staying in Saas and guestcard is marked with an S.,10:52
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,10:58
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,11:08
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,11:12
