1,Destination,Route,Towards,Notes,Gotschnastrasse
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,11:34
From,Oberselfranga,234,Oberselfranga,No,11:34
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,11:34
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,11:41
From,Oberselfranga,234,Oberselfranga,No,11:46
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,11:59
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:04
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,12:04
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,12:06
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,12:26
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,12:26
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:34
From,Oberselfranga,234,Oberselfranga,No,12:34
From,Monobiel Parkplatz:Via Sportzentrum (for skilift Selfranga),232,Monobiel Parkplatz:Sportzentrum (for skilift Selfranga):Aeuja Post,No,12:34
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,12:56
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:04
From,Monobiel Parkplatz:Via Nutlihuschi,232,Monobiel Parkplatz:Nutlihuschi,No,13:04
From,Madrisabahn,235,Madrisabahn,Service runs from the 23rd of December to the 26th March only,13:11
From,Russna,237,Russna:Nutlihuschi,Service runs from the 23rd of December to the 26th March only,13:21
