46.885288,9.869738,Klosters,Risweg,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8582862&showJourneys=12&,1,231,\n,,,,,
46.885698,9.866291,Klosters,Uberm Bach,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8582868&showJourneys=12&,1,231,\n,,,,,
46.893517,9.844272,Klosters,Mezzaselva,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581199&showJourneys=12&,1,231,\n,,,,,
46.891477,9.846942,Klosters,Gruoba,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581452&showJourneys=12&,1,231,\n,,,,,
46.890406,9.847,Klosters,Capeira,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8582849&showJourneys=12&,1,231,\n,,,,,
46.890034,9.844873,Klosters,Walki,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581197&showJourneys=12&,1,231,\n,,,,,
46.885797,9.850487,Klosters,Bad,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8582891&showJourneys=12&,1,231,\n,,,,,
46.890396,9.84088,Klosters,Dorf,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581196&showJourneys=12&,1,231,\n,,,,,
46.885797,9.850487,Klosters,Pagrueg,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581440&showJourneys=12&,1,231,\n,,,,,
46.903577,9.824889,Klosters,Waldhof,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581204&showJourneys=12&,1,231,\n,,,,,
46.904582,9.817577,Klosters,Mulitobel,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581441&showJourneys=12&,1,231,\n,,,,,
46.906598,9.816044,Klosters,Haus Fluor,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581442&showJourneys=12&,1,231,\n,,,,,
46.90908,9.814141,Klosters,Sagarank,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8583544&showJourneys=12&,1,231,\n,,,,,
46.909938,9.810798,Klosters,Old-Inn,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581203&showJourneys=12&,1,231,\n,,,,,
46.907556,9.809866,Klosters,Saas - Station,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8509065&showJourneys=12&,1,Rail,\n,,,,,
46.911189,9.805857,Klosters,Dorfplatz,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581202&showJourneys=12&,1,231,\n,,,,,
46.912293,9.803753,Klosters,Ufm Ried,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581201&showJourneys=12&,1,231,\n,,,,,
46.913934,9.788557,Klosters,Prada,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8581443&showJourneys=12&,1,231,\n,,,,,
46.91437,9.777422,Klosters,Dorfplatz,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8575088&showJourneys=12&,1,231,\n,,,,,
46.914247,9.772018,Klosters,Kublis,http://fahrplan.sbb.ch/bin/stboard.exe/en?L=vs_liveticker&input=8575081&showJourneys=12&,2,231,Rail,\n,,,,
46.8566,9.882716,Klosters,Selfranga,No,1,Rail,\n,,,,,
46.763329,10.096179,Klosters,Sagliains,No,1,Rail,\n,,,,,
