232,*Aeuja Post,Klosters Platz - Station,Gotschnastrasse,Bundnerhof,Sportzentrum (for skilift Selfranga),Brachweg,Doggiboden,RE-Zentrale (Kraftwerk),Aeuja Post,,,,,,,,,,,,,,,,,,,,,,,
232,*Aeuja Post,00:00,00:01,00:02,00:02,00:03,00:03,00:04,00:04,,,,,,,,,,,,,,,,,,,,,,,
232,*Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,Monbiel Parkplatz,Hohwald,Bir Legi,Bundelti,Aeuja Brucke,Aeuja Post,RE-Zentrale (Kraftwerk),Doggiboden,Brachweg,Sportzentrum (for skilift Selfranga),Bundnerhof,Vereinapark,Klosters Platz - Station,,,,,,,,,,,,,,,,,,
232,*Klosters Platz - Station:Sportzentrum (for skilift Selfranga):Aeuja Post,00:00,00:01,00:01,00:02,00:02,00:03,00:04,00:04,00:05,00:06,00:07,00:08,00:12,,,,,,,,,,,,,,,,,,
232,*Klosters Platz - Station:Sportzentrum (for skilift Selfranga),Monbiel Parkplatz,Hohwald,Bir Legi,Bundelti,Aeuja Brucke,Aeuja Post,RE-Zentrale (Kraftwerk),Doggiboden,Brachweg,Sportzentrum (for skilift Selfranga),Bundnerhof,Vereinapark,Klosters Platz - Station,,,,,,,,,,,,,,,,,,
232,*Klosters Platz - Station:Sportzentrum (for skilift Selfranga),00:00,00:01,00:01,00:02,00:02,00:03,00:04,00:04,00:05,00:06,00:07,00:08,00:12,,,,,,,,,,,,,,,,,,
232,*Klosters Platz - Station,Monbiel Parkplatz,Hohwald,Bir Legi,Bundelti,Aeuja Brucke,Aeuja Post,RE-Zentrale (Kraftwerk),Doggiboden,Brachweg,Sportzentrum (for skilift Selfranga),Bundnerhof,Vereinapark,Klosters Platz - Station,,,,,,,,,,,,,,,,,,
232,*Klosters Platz - Station,00:00,00:01,00:01,00:02,00:02,00:03,00:04,00:04,00:05,00:06,00:07,00:08,00:12,,,,,,,,,,,,,,,,,,
232,*Klosters Platz - Station:Nutlihuschi,Aeuja Post,Aeuja Brucke,Au,Taschi,Hofji,Nutlihuschi,Vereinapark,Klosters Platz - Station,,,,,,,,,,,,,,,,,,,,,,,
232,*Klosters Platz - Station:Nutlihuschi,00:00,00:01,00:02,00:03,00:04,00:05,00:06,00:09,,,,,,,,,,,,,,,,,,,,,,,
231,*Kublis:Serneus:Dorf,Klosters Platz - Station,Gotschnastrasse,Kirchplatz,Kath. Kirche (for skilift Heidlift),Malein,Hotel Sport,Ruefa,Rufinis,Klosters Dorf - Station,Risweg,Uberm Bach,Mezzaselva,Gruoba,Capeira,Walki,Dorf,Walki,Capeira,Gruoba,Mezzaselva,Pagrueg,Waldhof,Haus Fluor,Sagarank,Old-Inn,Dorfplatz,Ufm Ried,Prada,Kublis,,
231,*Kublis:Serneus:Dorf,00:00,00:01,00:01,00:02,00:02,00:03,00:03,00:04,00:06,00:06,00:07,00:09,00:09,00:10,00:11,00:13,00:14,00:15,00:15,00:19,00:21,00:22,00:23,00:24,00:25,00:26,00:26,00:27,00:34,,
231,*Kublis:Serneus:Dorf:Bad,Klosters Platz - Station,Gotschnastrasse,Kirchplatz,Kath. Kirche (for skilift Heidlift),Malein,Hotel Sport,Ruefa,Rufinis,Klosters Dorf - Station,Risweg,Uberm Bach,Mezzaselva,Gruoba,Capeira,Walki,Dorf,Walki,Bad,Walki,Capeira,Gruoba,Mezzaselva,Pagrueg,Waldhof,Haus Fluor,Sagarank,Old-Inn,Dorfplatz,Ufm Ried,Prada,Kublis
231,*Kublis:Serneus:Dorf:Bad,00:00,00:01,00:01,00:02,00:02,00:03,00:03,00:04,00:06,00:06,00:07,00:09,00:09,00:10,00:11,00:13,00:13,00:14,00:14,00:15,00:15,00:19,00:21,00:22,00:23,00:24,00:25,00:26,00:26,00:27,00:34
231,*Kublis:Serneus,Dorf,Walki,Capeira,Gruoba,Mezzaselva,Pagrueg,Waldhof,Haus Fluor,Sagarank,Old-Inn,Dorfplatz,Ufm Ried,Prada,Kublis,,,,,,,,,,,,,,,,,
231,*Kublis:Serneus,00:00,00:01,00:02,00:02,00:06,00:08,00:09,00:10,00:11,00:12,00:13,00:13,00:14,00:21,,,,,,,,,,,,,,,,,
231,*Kublis:Serneus:Bad,Dorf,Walki,Bad,Walki,Capeira,Gruoba,Mezzaselva,Pagrueg,Waldhof,Haus Fluor,Sagarank,Old-Inn,Dorfplatz,Ufm Ried,Prada,Kublis,,,,,,,,,,,,,,,
231,*Kublis:Serneus:Bad,00:00,00:00,00:01,00:01,00:02,00:02,00:06,00:08,00:09,00:10,00:11,00:12,00:13,00:13,00:14,00:21,,,,,,,,,,,,,,,
231,*Kublis,Capeira,Gruoba,Mezzaselva,Pagrueg,Waldhof,Haus Fluor,Sagarank,Old-Inn,Dorfplatz,Ufm Ried,Prada,Kublis,,,,,,,,,,,,,,,,,,,
231,*Kublis,00:00,00:00,00:04,00:06,00:07,00:08,00:09,00:10,00:11,00:11,00:12,00:19,,,,,,,,,,,,,,,,,,,
231,*Serneus:Dorf,Klosters Platz - Station,Gotschnastrasse,Kirchplatz,Kath. Kirche (for skilift Heidlift),Malein,Hotel Sport,Ruefa,Rufinis,Klosters Dorf - Station,Risweg,Uberm Bach,Mezzaselva,Gruoba,Capeira,Walki,Dorf,,,,,,,,,,,,,,,
231,*Serneus:Dorf,00:00,00:01,00:01,00:02,00:02,00:03,00:03,00:04,00:06,00:06,00:07,00:09,00:09,00:10,00:11,00:13,,,,,,,,,,,,,,,
231,*Dorf,Klosters Platz - Station,Gotschnastrasse,Kirchplatz,Kath. Kirche (for skilift Heidlift),Malein,Hotel Sport,Ruefa,Rufinis,Klosters Dorf - Station,Risweg,Uberm Bach,Mezzaselva,Gruoba,Capeira,Walki,Dorf,,,,,,,,,,,,,,,
231,*Dorf,00:00,00:01,00:01,00:02,00:02,00:03,00:03,00:04,00:06,00:06,00:07,00:09,00:09,00:10,00:11,00:13,,,,,,,,,,,,,,,
235,*Madrisabahn,Klosters Platz - Station,Gotschnastrasse,Kirchplatz,Kath. Kirche (for skilift Heidlift),Malein,Hotel Sport,Ruefa,Rufinis,Madrisabahn,,,,,,,,,,,,,,,,,,,,,,
235,*Madrisabahn,00:00,00:01,00:01,00:02,00:02,00:03,00:03,00:04,00:08,,,,,,,,,,,,,,,,,,,,,,
235,*Klosters Platz - Station,Madrisabahn,Rufinis,Ruefa,Hotel Sport,Malein,Kath. Kirche (for skilift Heidlift),Kirchplatz,Vereinapark,Klosters Platz - Station,,,,,,,,,,,,,,,,,,,,,,
235,*Klosters Platz - Station,00:00,00:01,00:01,00:02,00:02,00:03,00:03,00:04,00:08,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
